key,score,victim,attacker,poor_activity_attacker,should_drop,contract,amount,droping_txhash,payout
"('0x3233ea452ae21c6badd35d4cb64f9e3fb81ffbdb08dae1670376e29d5c62131c', 113)",3,0x04268311e487c5a05a41c305ef1880dcfaa1ff9e,0xd45b99c3c612a1c44c2446f945fa276d0da6ce5d,False,True,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,1,89ae338e29d48644ab5edccbaa243148277975a92f72402b8720bac593821429,False
"('0x26995811dd7f69ad39f4dd51ce64fab314ca2a89f463fb4644b83db8b348fa86', 15)",3,0xdb443118b9266f9dc64e140efbd1aa926643dd94,0x12345206bb098b4e4b899732a6221d39e8721fb9,False,True,0x000000000000000000000000000000000000800a,81129223973791671,7ed5ce10f80daf92c88bc49fecf161eab60eec9b1488833aa537c565fb55cefd,False
"('0xed794ae0399091bfe905eff52cb3c455960f2652307d7b5d31f269a3dd59eb01', 7)",2,0x1478de2d33b7c51a74b2af848cd15d9d3fb8bf3c,0x1234561fed41dd2d867a038bbdb857f291864225,False,True,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,27390,8c8a3b383f2aee07cb7cd60a17a824da2a7a073a0e2ee7f5a95317762f9c3649,False
"('0x59dde8662b8c01a52762cfaf176c1a8b69d0d8a6480828d0727fcd5b84e8ddc4', 52)",2,0x04268311e487c5a05a41c305ef1880dcfaa1ff9e,0xd45b99c3c612a1c44c2446f945fa276d0da6ce5d,False,True,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,1,89ae338e29d48644ab5edccbaa243148277975a92f72402b8720bac593821429,False
"('0x07d87dcc721a0c5d85451bd78570f7042ef4caff98781d1858fd244053714681', 19)",2,0x6d90d891a03c32d4082126d0cee145f3be62444a,0x3e2e3a734be1d27865ff0e04b53cd78d8c11bb94,False,True,0x000000000000000000000000000000000000800a,2000000000000000000,9b9c2863c9292da7aeec03c7b92e9e82f7c0650ab88b0bf8ad9641c68ae492d2,False
"('0x59dde8662b8c01a52762cfaf176c1a8b69d0d8a6480828d0727fcd5b84e8ddc4', 52)",2,0x04268311e487c5a05a41c305ef1880dcfaa1ff9e,0xd45b99c3c612a1c44c2446f945fa276d0da6ce5d,False,True,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,1,89ae338e29d48644ab5edccbaa243148277975a92f72402b8720bac593821429,False
"('0x07d87dcc721a0c5d85451bd78570f7042ef4caff98781d1858fd244053714681', 19)",2,0x6d90d891a03c32d4082126d0cee145f3be62444a,0x3e2e3a734be1d27865ff0e04b53cd78d8c11bb94,False,True,0x000000000000000000000000000000000000800a,2000000000000000000,9b9c2863c9292da7aeec03c7b92e9e82f7c0650ab88b0bf8ad9641c68ae492d2,False
"('0x2d3dcb3c92ac2235652759bbc19dad5e0e9f32f9ffb341163928e1926f6df39c', 48)",2,0x47c71c0d61e51122e03a698cdadfa282f8492a8b,0x1234561fed41dd2d867a038bbdb857f291864225,False,True,0xed4040fd47629e7c8fbb7da76bb50b3e7695f0f2,1419000000000000000000,aab7863565b87420143522c9f7167af34c2426fd2ec7d79e3fcadb3c02183bb5,False
"('0x987a67f3e1860fbb4806e830efe55110ec5d0e0822dd8dedc526724cee7aa792', 47)",2,0x6d90d891a03c32d4082126d0cee145f3be62444a,0x19a711fa79e5a5aa06663b96a381e7018b87b474,False,True,0x000000000000000000000000000000000000800a,1499958706036622739,6f5aee68bb20b35247df34b9be3503eb4632370bfd90dfded1992880215cda06,False
"('0xe0ef964103c723cb0cc798c3119fa3134c6ccea9b78deadb32acebdd7334cddf', 19)",2,0x6d90d891a03c32d4082126d0cee145f3be62444a,0x6d93e7be68707dfc182052a511c5c2aa35198162,False,True,0x000000000000000000000000000000000000800a,3200000000000000000,eb841e47c8d1cd660d2f575ffbf4612d65827e0b8ce5520037f01bb8d89d776b,False
